,locationId,location,entity,parameter,value,sensor_lat,sensor_lon,local_time
48,2143,DETROIT-SW,Governmental Organization,pm25,15.5,42.3042,-83.1072,2023-06-06 17:00:00-04:00
49,2143,DETROIT-SW,Governmental Organization,pm25,20.7,42.3042,-83.1072,2023-06-06 16:00:00-04:00
50,2143,DETROIT-SW,Governmental Organization,pm25,22.7,42.3042,-83.1072,2023-06-06 15:00:00-04:00
51,2143,DETROIT-SW,Governmental Organization,pm25,26.7,42.3042,-83.1072,2023-06-06 14:00:00-04:00
52,2143,DETROIT-SW,Governmental Organization,pm25,29.5,42.3042,-83.1072,2023-06-06 13:00:00-04:00
53,2143,DETROIT-SW,Governmental Organization,pm25,30.1,42.3042,-83.1072,2023-06-06 12:00:00-04:00
54,2143,DETROIT-SW,Governmental Organization,pm25,36.7,42.3042,-83.1072,2023-06-06 11:00:00-04:00
55,2143,DETROIT-SW,Governmental Organization,pm25,48.9,42.3042,-83.1072,2023-06-06 10:00:00-04:00
56,2143,DETROIT-SW,Governmental Organization,pm25,48.2,42.3042,-83.1072,2023-06-06 09:00:00-04:00
57,2143,DETROIT-SW,Governmental Organization,pm25,47.4,42.3042,-83.1072,2023-06-06 08:00:00-04:00
58,2143,DETROIT-SW,Governmental Organization,pm25,49.1,42.3042,-83.1072,2023-06-06 07:00:00-04:00
59,2143,DETROIT-SW,Governmental Organization,pm25,46.9,42.3042,-83.1072,2023-06-06 06:00:00-04:00
60,2143,DETROIT-SW,Governmental Organization,pm25,43.1,42.3042,-83.1072,2023-06-06 05:00:00-04:00
61,2143,DETROIT-SW,Governmental Organization,pm25,39.3,42.3042,-83.1072,2023-06-06 04:00:00-04:00
62,2143,DETROIT-SW,Governmental Organization,pm25,38.5,42.3042,-83.1072,2023-06-06 03:00:00-04:00
63,2143,DETROIT-SW,Governmental Organization,pm25,36.2,42.3042,-83.1072,2023-06-06 02:00:00-04:00
64,2143,DETROIT-SW,Governmental Organization,pm25,34.8,42.3042,-83.1072,2023-06-06 01:00:00-04:00
65,2143,DETROIT-SW,Governmental Organization,pm25,30.4,42.3042,-83.1072,2023-06-06 00:00:00-04:00
66,2143,DETROIT-SW,Governmental Organization,pm25,30.3,42.3042,-83.1072,2023-06-05 23:00:00-04:00
67,2143,DETROIT-SW,Governmental Organization,pm25,27.7,42.3042,-83.1072,2023-06-05 22:00:00-04:00
68,2143,DETROIT-SW,Governmental Organization,pm25,27.7,42.3042,-83.1072,2023-06-05 21:00:00-04:00
69,64955,AQSU-WindsorWest-1,Community Organization,pm25,134.5,42.29289,-83.073135,2023-06-06 19:57:33-04:00
70,64955,AQSU-WindsorWest-1,Community Organization,pm25,136.8,42.29289,-83.073135,2023-06-06 19:55:33-04:00
71,64955,AQSU-WindsorWest-1,Community Organization,pm25,137.2,42.29289,-83.073135,2023-06-06 19:53:33-04:00
72,64955,AQSU-WindsorWest-1,Community Organization,pm25,140.2,42.29289,-83.073135,2023-06-06 19:51:33-04:00
73,64955,AQSU-WindsorWest-1,Community Organization,pm25,138.7,42.29289,-83.073135,2023-06-06 19:49:33-04:00
74,64955,AQSU-WindsorWest-1,Community Organization,pm25,141.1,42.29289,-83.073135,2023-06-06 19:47:33-04:00
75,64955,AQSU-WindsorWest-1,Community Organization,pm25,144.6,42.29289,-83.073135,2023-06-06 19:45:33-04:00
76,64955,AQSU-WindsorWest-1,Community Organization,pm25,143.1,42.29289,-83.073135,2023-06-06 19:43:33-04:00
77,64955,AQSU-WindsorWest-1,Community Organization,pm25,150.4,42.29289,-83.073135,2023-06-06 19:39:33-04:00
78,64955,AQSU-WindsorWest-1,Community Organization,pm25,150.9,42.29289,-83.073135,2023-06-06 19:37:33-04:00
79,64955,AQSU-WindsorWest-1,Community Organization,pm25,149.4,42.29289,-83.073135,2023-06-06 19:35:33-04:00
80,64955,AQSU-WindsorWest-1,Community Organization,pm25,151.8,42.29289,-83.073135,2023-06-06 19:33:33-04:00
81,64955,AQSU-WindsorWest-1,Community Organization,pm25,150.8,42.29289,-83.073135,2023-06-06 19:31:33-04:00
82,64955,AQSU-WindsorWest-1,Community Organization,pm25,155.1,42.29289,-83.073135,2023-06-06 19:29:33-04:00
83,64955,AQSU-WindsorWest-1,Community Organization,pm25,153.4,42.29289,-83.073135,2023-06-06 19:27:33-04:00
84,64955,AQSU-WindsorWest-1,Community Organization,pm25,157.6,42.29289,-83.073135,2023-06-06 19:25:33-04:00
85,64955,AQSU-WindsorWest-1,Community Organization,pm25,156.1,42.29289,-83.073135,2023-06-06 19:23:33-04:00
86,64955,AQSU-WindsorWest-1,Community Organization,pm25,155.0,42.29289,-83.073135,2023-06-06 19:21:33-04:00
87,64955,AQSU-WindsorWest-1,Community Organization,pm25,132.7,42.29289,-83.073135,2023-06-06 19:17:33-04:00
88,64955,AQSU-WindsorWest-1,Community Organization,pm25,124.6,42.29289,-83.073135,2023-06-06 19:15:33-04:00
89,64955,AQSU-WindsorWest-1,Community Organization,pm25,110.4,42.29289,-83.073135,2023-06-06 19:13:33-04:00
90,64955,AQSU-WindsorWest-1,Community Organization,pm25,93.1,42.29289,-83.073135,2023-06-06 19:11:33-04:00
91,64955,AQSU-WindsorWest-1,Community Organization,pm25,82.8,42.29289,-83.073135,2023-06-06 19:09:33-04:00
92,64955,AQSU-WindsorWest-1,Community Organization,pm25,76.1,42.29289,-83.073135,2023-06-06 19:07:32-04:00
93,64955,AQSU-WindsorWest-1,Community Organization,pm25,68.0,42.29289,-83.073135,2023-06-06 19:05:33-04:00
94,64955,AQSU-WindsorWest-1,Community Organization,pm25,64.2,42.29289,-83.073135,2023-06-06 19:03:32-04:00
95,64955,AQSU-WindsorWest-1,Community Organization,pm25,56.1,42.29289,-83.073135,2023-06-06 19:01:33-04:00
96,64955,AQSU-WindsorWest-1,Community Organization,pm25,51.3,42.29289,-83.073135,2023-06-06 18:59:32-04:00
97,64955,AQSU-WindsorWest-1,Community Organization,pm25,48.4,42.29289,-83.073135,2023-06-06 18:57:32-04:00
98,64955,AQSU-WindsorWest-1,Community Organization,pm25,44.4,42.29289,-83.073135,2023-06-06 18:55:33-04:00
99,64955,AQSU-WindsorWest-1,Community Organization,pm25,35.5,42.29289,-83.073135,2023-06-06 18:53:32-04:00
100,64955,AQSU-WindsorWest-1,Community Organization,pm25,31.4,42.29289,-83.073135,2023-06-06 18:51:32-04:00
101,64955,AQSU-WindsorWest-1,Community Organization,pm25,28.4,42.29289,-83.073135,2023-06-06 18:49:32-04:00
102,64955,AQSU-WindsorWest-1,Community Organization,pm25,27.9,42.29289,-83.073135,2023-06-06 18:47:32-04:00
103,64955,AQSU-WindsorWest-1,Community Organization,pm25,27.8,42.29289,-83.073135,2023-06-06 18:45:32-04:00
104,64955,AQSU-WindsorWest-1,Community Organization,pm25,25.9,42.29289,-83.073135,2023-06-06 18:43:32-04:00
105,64955,AQSU-WindsorWest-1,Community Organization,pm25,26.2,42.29289,-83.073135,2023-06-06 18:41:32-04:00
106,64955,AQSU-WindsorWest-1,Community Organization,pm25,25.3,42.29289,-83.073135,2023-06-06 18:39:33-04:00
107,64955,AQSU-WindsorWest-1,Community Organization,pm25,25.6,42.29289,-83.073135,2023-06-06 18:37:32-04:00
108,64955,AQSU-WindsorWest-1,Community Organization,pm25,25.1,42.29289,-83.073135,2023-06-06 18:35:32-04:00
109,64955,AQSU-WindsorWest-1,Community Organization,pm25,24.3,42.29289,-83.073135,2023-06-06 18:33:32-04:00
110,64955,AQSU-WindsorWest-1,Community Organization,pm25,22.6,42.29289,-83.073135,2023-06-06 18:31:32-04:00
111,64955,AQSU-WindsorWest-1,Community Organization,pm25,21.8,42.29289,-83.073135,2023-06-06 18:29:32-04:00
112,64955,AQSU-WindsorWest-1,Community Organization,pm25,20.6,42.29289,-83.073135,2023-06-06 18:27:32-04:00
113,64955,AQSU-WindsorWest-1,Community Organization,pm25,22.0,42.29289,-83.073135,2023-06-06 18:25:35-04:00
114,64955,AQSU-WindsorWest-1,Community Organization,pm25,21.4,42.29289,-83.073135,2023-06-06 18:23:32-04:00
115,64955,AQSU-WindsorWest-1,Community Organization,pm25,19.4,42.29289,-83.073135,2023-06-06 18:21:32-04:00
116,64955,AQSU-WindsorWest-1,Community Organization,pm25,19.8,42.29289,-83.073135,2023-06-06 18:19:32-04:00
117,64955,AQSU-WindsorWest-1,Community Organization,pm25,20.0,42.29289,-83.073135,2023-06-06 18:17:32-04:00
118,64955,AQSU-WindsorWest-1,Community Organization,pm25,18.3,42.29289,-83.073135,2023-06-06 18:15:32-04:00
119,64955,AQSU-WindsorWest-1,Community Organization,pm25,18.3,42.29289,-83.073135,2023-06-06 18:13:32-04:00
120,64955,AQSU-WindsorWest-1,Community Organization,pm25,17.8,42.29289,-83.073135,2023-06-06 18:11:32-04:00
121,64955,AQSU-WindsorWest-1,Community Organization,pm25,18.2,42.29289,-83.073135,2023-06-06 18:09:33-04:00
122,64955,AQSU-WindsorWest-1,Community Organization,pm25,16.3,42.29289,-83.073135,2023-06-06 18:07:32-04:00
123,64955,AQSU-WindsorWest-1,Community Organization,pm25,16.5,42.29289,-83.073135,2023-06-06 18:05:32-04:00
124,64955,AQSU-WindsorWest-1,Community Organization,pm25,15.9,42.29289,-83.073135,2023-06-06 18:03:32-04:00
125,64955,AQSU-WindsorWest-1,Community Organization,pm25,15.1,42.29289,-83.073135,2023-06-06 18:01:32-04:00
126,64955,AQSU-WindsorWest-1,Community Organization,pm25,16.9,42.29289,-83.073135,2023-06-06 17:59:32-04:00
127,64955,AQSU-WindsorWest-1,Community Organization,pm25,16.4,42.29289,-83.073135,2023-06-06 17:57:32-04:00
128,64955,AQSU-WindsorWest-1,Community Organization,pm25,16.5,42.29289,-83.073135,2023-06-06 17:55:32-04:00
129,64955,AQSU-WindsorWest-1,Community Organization,pm25,15.4,42.29289,-83.073135,2023-06-06 17:51:32-04:00
130,64955,AQSU-WindsorWest-1,Community Organization,pm25,15.7,42.29289,-83.073135,2023-06-06 17:49:32-04:00
131,64955,AQSU-WindsorWest-1,Community Organization,pm25,13.7,42.29289,-83.073135,2023-06-06 17:47:32-04:00
132,64955,AQSU-WindsorWest-1,Community Organization,pm25,12.9,42.29289,-83.073135,2023-06-06 17:45:32-04:00
133,64955,AQSU-WindsorWest-1,Community Organization,pm25,12.6,42.29289,-83.073135,2023-06-06 17:43:32-04:00
134,64955,AQSU-WindsorWest-1,Community Organization,pm25,13.5,42.29289,-83.073135,2023-06-06 17:41:32-04:00
